" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"TID_NO_SPELLS_TO_REQUEST","You don't have any cards that can be requested","Vous n'avez aucune carte pouvant être demandée.","Du hast keine Karten, die angefordert werden können.","No puedes pedir ninguna carta.","Non hai carte che possono essere richieste","Je hebt geen kaarten waar je om kunt vragen","Du har ingen kort som kan bli bedt om","İsteyebileceğin herhangi bir kart yok","リクエスト対象のカードを持っていません","요청 가능한 카드가 없습니다","У тебя нет карт, которые можно попросить","ليست لديك أي بطاقات يمكن طلبها","Você não pode pedir mais cartas.","您没有可请求捐赠的卡牌","您沒有可請求捐贈的卡牌","هیچ کارتی که بشه درخواست کرد نداری","Kamu tidak punya kartu yang bisa diminta","Anda tidak mempunyai sebarang kad yang boleh diminta"
"TID_START_UNLOCK","Start unlock","Débloquer","Öffnen","Desbloquear","Inizia sblocco","Ontgrendelen","Start opplåsing","Açmaya başla","アンロック開始","잠금 해제 시작","Разблокировать","بدء الفتح","Abrir","开始解锁","開始解鎖","شروع بازگشایی قفل","Mulai membuka","Mula buka kunci"
"TID_NEXT_PRICE","Price","Prix","Preis","Precio","Prezzo","Prijs","Pris","Fiyat","価格","가격","Цена","السعر","Preço","价格","價格","قیمت","Harga","Harga"
"TID_TEXT_BUY_CARD","Get one more <name>?","Obtenir une autre carte <name> ?","Noch 1 <name> kaufen?","¿Comprar <name>?","Ottenere ancora 1 <name>?","<name> kaart halen?","Kjøp ett <name>-kort?","Bir tane daha <name> kartı al?","<name>を1枚買いますか？","<name> 카드를 하나 더 구매하시겠습니까?","Получить карту <name>?","هل تريد الحصول على <name> إضافية؟","Pegar <name>?","再购买一张<name>？","再購買一張<name>？","یک <name> بیشتر می‌گیری؟","Mau satu <name> lagi?","Dapatkan satu lagi <name>?"
"TID_TEXT_BUY_CHEST","Get <name>?","Obtenir : <name> ?","<name> kaufen?","¿Comprar <name>?","Ottenere <name>?","<name> halen?","Kjøpe <name>?","<name> al?","<name>を入手しますか？","<name>를 구매하시겠습니까?","Получить: <name>?","هل تريد الحصول على <name>؟","Pegar <name>?","购买<name>？","購買<name>？","<name> می‌گیری؟","Mau <name>?","Dapatkan <name>?"
"TID_TEXT_BUY_RESOURCES","Get <name>?","Obtenir : <name> ?","<name> kaufen?","¿Comprar <name>?","Comprare <name>?","<name> halen?","Kjøpe <name>?","<name> al?","<name>を入手しますか？","<name>를 구매하시겠습니까?","Получить: <name>?","هل تريد الحصول على <name>؟","Pegar <name>?","购买<name>？","購買<name>？","<name> می‌گیری؟","Mau <name>?","Dapatkan <name>?"
"TID_TEXT_SPELLS_LEFT","There are <amount> left","Il en reste <amount>.","Es sind noch <amount> da.","Queda(n) <amount>.","Ne restano <amount>","Er zijn er nog <amount> over","Det er <amount> igjen","<amount> tane kaldı","残り<amount>枚","<amount>개 남았습니다.","Осталось: <amount>","باق <amount>","Há <amount> restantes.","还可购买<amount>张","還可購買<amount>張","<amount> باقی مونده","Sisa <amount>","Terdapat baki <amount>"
"TID_TEXT_SPELLS_LEFT_SINGLE","This is the last one available!","Dernier exemplaire disponible !","Dies ist das letzte verfügbare Exemplar!","¡Último hechizo disponible!","Ultima disponibile!","Dit is de laatste die nog beschikbaar is!","Dette er den siste!","Bu sonuncusu!","この1枚で売り切れです！","마지막 하나입니다!","Остался последний экземпляр!","هذه آخر واحدة متاحة!","Este é o último disponível.","这是最后一张啦！","這是最後一張啦！","این آخرین مورد هست!","Ini yang terakhir!","Ini yang terakhir!"
"TID_TEXT_BUY_RESOURCE_COUNT","And get <amount> <resource>","Et obtenir <amount> <resource>","Und <amount> <resource> erhalten","Recibirás <amount> <resource>.","E ottieni <amount> <resource>","En krijg <amount> <resource>","Og få <amount> <resource>","Böylece <amount> <resource> edin","<amount><resource>入りです","그리고 <resource> <amount>개를 받으세요.","И добавить <resource> (<amount>)","واحصل على <amount> <resource>","E pegar <amount> <resource>.","获得<amount><resource>","獲得<amount><resource>","و <amount> <resource> بگیر","Dan dapatkan <amount><resource>","Dan dapatkan <amount> <resource>"
"TID_UPDATE_CARD_FIRST","Upgrade the card first!","Commencez par améliorer la carte !","Verbessere zunächst die Karte!","¡Mejora antes la carta!","Migliora prima la carta!","Upgrade de kaart eerst!","Oppgrader kortet først!","Önce kartı yükselt!","先にカードをアップグレードしてください！","카드를 먼저 업그레이드하세요!","Сначала улучши карту!","قم بترقية البطاقة أولاً!","Melhore a carta primeiro!","请先升级您的卡牌！","請先升級您的卡牌！","اول کارت رو ارتقا بده!","Tingkatkan kartu terlebih dahulu!","Naik taraf kad dahulu!"
"TID_YOU_HAVE_ALREADY_BOUGHT_ALL_AVAILABLE_CARDS","Sold out","Rupture de stock","Ausverkauft","Agotada","Esaurito","Uitverkocht","Utsolgt","Tükendi","売り切れ","매진","Распродано","نفدت","Esgotadas","已售完","賣完","فروش تمام شد","Habis terjual","Habis dijual"
"TID_CARD_BOUGHT","You got <name>","Vous avez obtenu : <name>","Du erhältst <name>.","¡Has conseguido la carta <name>!","Ricevi: <name>","Je kreeg: <name>","Du fikk <name>","<name> aldın","<name>を入手","<name> 카드를 구매했습니다.","Получено: <name>","لديك <name>","Você comprou <name>.","您得到了<name>","您得到了<name>","<name> داری","Kamu mendapatkan <name>","Anda mendapat <name>"
"TID_IAP_NOT_AVAILABLE","Please enable In-App Purchases in your device restrictions settings.","Veuillez activer les achats intégrés dans les réglages de votre appareil.","Bitte aktiviere In-App-Käufe in den Geräteeinstellungen unter \qAllgemein\q > \qEinschränkungen\q.","Habilita las compras integradas en la configuración de restricciones de tu dispositivo.","Attiva gli acquisti in-app nelle impostazioni delle restrizioni sul tuo dispositivo.","Schakel de optie Kopen vanuit apps in onder Instellingen > Beperkingen.","Aktiver kjøp i apper i enhetens innstillinger.","Cihazındaki kısıtlama ayarlarından Uygulama İçi Satın Alımları etkinleştir.","お使いのデバイスの機能制限設定からアプリ内購入を有効にしてください。","기기의 제한 설정에서 인앱 구매를 활성화하세요.","Пожалуйста, разрешите встроенные покупки в настройках устройства.","يُرجى تمكين عمليات الشراء داخل التطبيق في إعدادات التقييد في جهازك.","Habilite as compras no aplicativo nas configurações de restrição do seu dispositivo.","请在您设备的访问限制设置中开启App内购买项目。","請在裝置限制設定中啟用「應用程式內購買」功能。","لطفاً از قسمت تنظیمات محدودیت دستگاه خرید‌های درون دستگاهی رو فعال کن.","Aktifkan Pembelian Dalam Aplikasi dalam pengaturan pembatasan di perangkatmu.","Sila dayakan Pembelian Dalam Aplikasi dalam tetapan sekatan peranti anda."
"TID_IAP_NOT_AVAILABLE_ANDROID","Purchases unavailable! Make sure that you are using a valid Google account and that your primary payment method is up to date.","Achats non disponibles ! Vérifiez que vous utilisez un compte Google valide et que votre mode de paiement principal est correct.","Käufe sind nicht möglich! Bitte sorge dafür, dass du ein gültiges Google-Konto verwendest und deine Zahlungsinformationen aktuell sind.","¡Las compras no están disponibles! Comprueba que estés usando una cuenta de Google válida y que tu método de pago principal esté actualizado.","Acquisti non disponibili. Assicurati di utilizzare un account Google valido e che il metodo di pagamento principale sia aggiornato.","Je kunt niets kopen! Maak gebruik van een geldig Google-account en zorg dat je primaire betalingsmethode up-to-date is.","Kjøp er ikke tilgjengelig! Pass på at du bruker en gyldig Google-konto og at den primære betalingsmetoden er gyldig og oppdatert.","Satın alım yapılamıyor! Geçerli bir Google hesabı kullandığından ve birincil ödeme yönteminin güncel olduğundan emin ol.","現在ご購入いただけません！ 有効なGoogleアカウントをお使いであること、ならびに決済情報が最新のものであることをご確認ください。","구매할 수 없습니다! 올바른 Google 계정을 사용하고 있으며 주 결제 수단을 업데이트했는지 확인하세요.","Покупка недоступна! Убедитесь, что используете действующую учетную запись Google, и ваш основной метод оплаты верен.","الشراء غير متاح! احرص على استخدامك لحساب Google صالح وأن تكون وسيلة الدفع الرئيسية لديك محدثة لآخر تحديث.","As compras não estão disponíveis! Você precisa usar uma conta Google válida e com uma forma de pagamento atualizada.","无法购买！确保您使用了有效的Google帐户，并且已更新了您的主要付款方式。","無法購買！確保您使用了有效的Google帳號，並且已更新了您的主要付款方式。","خریدها در دسترس نیستن! مطمئن شو از یک حساب Google معتبر استفاده می‌کنی و روش پرداخت اصلیت به‌روز هست.","Pembelian tidak tersedia! Pastikan kamu menggunakan akun Google yang valid dan metode pembayaran utama sudah terkini.","Pembelian tidak tersedia! Pastikan anda menggunakan akaun Google yang sah dan cara pembayaran utama anda adalah terkini."
"TID_IAP_NOT_AVAILABLE_OLD_GOOGLE_PLAY","Purchases unavailable! Google Play Store app needs to be updated.","Achat impossible. L'application Google Play Store doit être mise à jour.","Käufe nicht verfügbar! Die Google Play-App muss aktualisiert werden.","¡Las compras no están disponibles! Debes actualizar la aplicación Google Play Store.","Acquisti non disponibili! È necessario aggiornare l'app di Google Play Store.","Je kunt niets kopen! Google Play Store-app moet worden bijgewerkt.","Kjøp er ikke tilgjengelig! Google Play Store-appen må oppdateres.","Satın alımlar uygun değil! Google Play Store uygulaması güncellenmeli.","現在ご購入いただけません！Google Playストアアプリをアップデートする必要があります。","구매 불가! Google Play Store를 업데이트해야 합니다.","Покупки недоступны! Нужно обновить приложение Google Play Маркет.","عمليات الشراء غير متاحة! يجب تحديث متجر تطبيقات Google Play Store.","Compras indisponíveis! Atualize o aplicativo Google Play Store.","无法购买！需要先升级Google Play Store应用。","無法購買！需要先升級Google Play Store應用程式。","خریدها در دسترس نیستن! برنامه فروشگاه Google Play باید به‌روز بشه.","Pembelian tidak tersedia! Aplikasi Google Play Store harus diperbarui.","Pembelian tidak tersedia! Aplikasi Google Play Store perlu dikemas kini."
"TID_IAP_TRANSACTION_PENDING","Please wait. Transaction is pending.","Veuillez patienter. Transaction en cours.","Bitte warten. Transaktion läuft.","Espera, la transacción aún no se ha completado.","Attendere. Transazione in sospeso.","Momentje geduld. Transactie wordt verwerkt.","Vent litt. Transaksjonen behandles.","Lütfen bekleyin: İşlem sürüyor.","しばらくお待ちください。ただいま処理を保留中です。","잠시만 기다려주세요. 결제가 진행 중입니다.","Пожалуйста, подождите. Производится транзакция.","يُرجى الانتظار. المعاملة قيد الانتظار.","Aguarde. Transação pendente.","交易待处理，请稍候。","交易待處理，請稍候。","لطفاً صبر کن. تراکنش در حال انجام هست.","Harap tunggu. Transaksi tertunda.","Sila tunggu. Transaksi belum selesai."
"TID_MUSIC","Music","Musique","Musik","Música","Musica","Muziek","Musikk","Müzik","音楽","음악","Музыка","الموسيقى","Música","音乐","音樂","موسیقی","Musik","Muzik"
"TID_SOUND_EFFECTS","Sfx","Sons","Sound","Efectos","Effetti","Geluidseffecten","Lydeffekter","Ses Efektleri","効果音","효과음","Эффекты","Sfx","Som","音效","音效","جلوه صوتی","Efek Suara","Sfx"
"TID_SETTINGS_ON","On","Oui","Ein","Sí","Sì","Aan","På","Açık","ON","켬","Включить","تشغيل","Ligado","开启","開啟","روشن","Nyala","Hidup"
"TID_SETTINGS_OFF","Off","Non","Aus","No","No","Uit","Av","Kapalı","OFF","끔","Выключить","إيقاف تشغيل","Desligado","关闭","關閉","خاموش","Mati","Mati"
"TID_SETTINGS","Settings","Paramètres","Einstellungen","Ajustes","Impostazioni","Instellingen","Innstillinger","Ayarlar","設定","설정","Настройки","الإعدادات","Configurações","设置","設定","تنظیمات","Setelan","Tetapan"
"TID_BUTTON_CREDITS","Credits","Crédits","Mitwirkende","Créditos","Riconoscimenti","Credits","Medvirkende","Hazırlayanlar","クレジット","제작진","Титры","المشاركون","Créditos","制作人员","製作人員","دست اندرکاران","Kredit","Kredit"
"TID_FACEBOOK","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook","Facebook"
"TID_BUTTON_TOS","Terms of Service","Conditions d'utilisation","Nutzungsbedingungen","Condiciones del servicio","Termini di servizio","Algemene voorwaarden","Tjenestevilkår","Hizmet Koşulları","利用規約","이용 약관","Условия пользования","بنود الخدمة","Termos de Uso","服务条款","服務條款","شرایط خدمات","Ketentuan Layanan","Terma Perkhidmatan"
"TID_BUTTON_HELP","Help and support","Aide et assistance","Hilfe und Support","Ayuda y asistencia","Guida e assistenza","Hulp en ondersteuning","Hjelp og støtte","Yardım ve destek","ヘルプとサポート","도움말 및 지원","Помощь и поддержка","المساعدة والدعم","Ajuda e suporte","帮助与支持","幫助與支援","قسمت کمک و پشتیبانی","Bantuan dan dukungan","Bantuan dan sokongan"
"TID_BUTTON_PRIVACY","Privacy","Confidentialité","Datenschutz","Política de privacidad","Privacy","Privacybeleid","Personvern","Gizlilik","プライバシー","개인정보 보호정책","Конфиденциальность","الخصوصية","Privacidade","隐私政策","隱私政策","حریم خصوصی","Privasi","Privasi"
"TID_BUTTON_PARENTS","Parents Guide","Guide parental","Leitfaden für Eltern","Guía para padres","Guida genitori","Richtlijn voor ouders","Foreldreveiledning","Ebeveyn Kılavuzu","保護者の皆様へ","보호자용 가이드","Справочник для родителей","دليل الآباء","Guia para pais","家长指南","家長指南","راهنمای والدین","Panduan Orang Tua","Panduan Ibu Bapa"
"TID_FACEBOOK_CONNECTED","Connected","En ligne","Verbunden","Conectado","Connesso","Verbonden","Tilkoblet","Bağlandı","接続中","연결됨","Подключено","متصل","Conectado","已连接","已連線","وصل شد","Tersambung","Disambungkan"
"TID_FACEBOOK_DISCONNECTED","Disconnected","Hors ligne","Getrennt","Desconectado","Disconnesso","Losgekoppeld","Frakoblet","Bağlantı kesildi","未接続","연결되지 않음","Отключено","غير متصل","Desconectado","已断开","已中斷","قطع شد","Terputus","Dinyahsambung"
"TID_LOADING_REPLAY","Loading...","Chargement...","Laden ...","Cargando...","Caricamento...","Laden...","Laster inn ...","Açılıyor...","ロード中...","불러오는 중","Загрузка...","يتم التحميل...","Carregando...","正在载入...","正在載入...","بارگیری...","Memuat...","Memuat..."
"TID_DIAMONDS_BOUGHT_SUCCESSFULLY","<number> Gems received!","<number> gemmes reçues !","<number> Juwelen erhalten!","¡<number> gemas recibidas!","<number> gemme ricevute!","Je hebt <number> edelstenen ontvangen!","<number> juveler mottatt!","<number> Taş alındı!","エメラルド<number>個を入手しました！","보석 <number>개 구매 완료!","Получено кристаллов: <number>!","تم تلقي <number> من الجواهر!","<number> gemas recebidas!","收到了<number>颗宝石！","收到了<number>顆寶石！","<number> جواهر دریافت شد!","<number> Permata diterima!","<number> Permata diterima!"
"TID_ABOUT","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAll Rights Reserved.\n\nAll use of this software is subject to\nTerms and Conditions and Privacy Policy\nat www.supercell.com.\n\nFor support contact\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nTous droits réservés.\n\nToute utilisation de ce logiciel est régie par les\nConditions d'utilisation et la Politique de confidentialité\ndisponibles sur www.supercell.com.\n\nPour obtenir de l'aide, contactez\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAlle Rechte vorbehalten.\n\nJegliche Nutzung der Software unterliegt\nden Nutzungsbedingungen und Datenschutzrichtlinien\nauf www.supercell.com.\n\nDer Kundendienst ist erreichbar unter\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nTodos los derechos reservados.\n\nEl uso de este software está sujeto\na las Condiciones del servicio y a la Política de privacidad\nque encontrarás en www.supercell.com.\n\nPara recibir asistencia, escribe a\nclashroyale.feedback@supercell.com.","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nTutti i diritti riservati.\n\nL'uso di questo software è soggetto ai\nTermini di servizio e all'Informativa sulla privacy\ndisponibili su www.supercell.com.\n\nPer assistenza, contattare\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAlle rechten voorbehouden.\n\nAlle gebruik van deze software is onderhevig aan de\nAlgemene voorwaarden en het Privacybeleid\nop www.supercell.com.\n\nNeem voor ondersteuning contact op met\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nMed enerett.\n\nAll bruk av denne programvaren er underlagt\nVilkår og betingelser og Retningslinjer for personvern\npå www.supercell.com.\n\nHvis du trenger brukerstøtte, kan du ta kontakt på:\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nTelif Hakkı 2016-2017 Supercell Ltd.\nTüm Hakları Saklıdır.\n\nBu yazılımın kullanımı\nwww.supercell.com adresindeki\nŞartlar ve Koşullar ile Gizlilik Politikası'na tabidir.\n\nDestek için clashroyale.feedback@supercell.net\nadresiyle iletişime geçin.","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAll Rights Reserved.\n\nAll use of this software is subject to\nTerms and Conditions and Privacy Policy\nat www.supercell.com.\n\nFor support contact\nclashroyale.feedback@supercell.c","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAll Rights Reserved.\n\n이 소프트웨어의 모든 이용은\nwww.supercell.com의\n약관과 조건, 개인정보 보호정책을 따릅니다.\n\n지원 문의처:\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nАвторские права принадлежат Supercell Ltd., 2016-2017 гг.\nВсе права защищены.\n\nНа любое использование данного программного обеспечения распространяются положения\nУсловий пользования и Политики конфиденциальности,\nрасположенных по адресу: www.supercell.com.\n\nСвязаться со службой поддержки можно по адресу:\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nحقوق النشر لعامي 2016-2017 محفوظة لشركة Supercell Ltd.\nجميع الحقوق محفوظة.\n\nجميع استخدامات هذا البرنامج خاضعة\nللبنود والشروط وسياسة الخصوصية\nعلى www.supercell.com.\n\nللحصول على الدعم، يمكنك الاتصال بـ\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nTodos os direitos reservados.\n\nO uso deste software está sujeito aos\nTermos de Uso e à Política de Privacidade\ndisponíveis no site www.supercell.com.\n\nPara suporte, contate\nclashroyale.feedback@supercell.com.","<names>\n\n《部落冲突:皇室战争》(Clash Royale)™ <version>\n版权所有2016-2017 Supercell Ltd.\n保留所有权利。\n\n对本软件的所有使用均需\n遵守我们在www.supercell.com列明的\n《条款和条件》和《隐私保护政策》。\n\n客服请联系：\nclashroyale.feedback@supercell.com","<names>\n\n《部落衝突:皇室戰爭》(Clash Royale)™ <version>\n版權所有2016-2017 Supercell Ltd.\n保留所有權利。\n\n對本軟體的所有使用均需\n遵守我們在www.supercell.com列明的\n《條款和條件》和《隱私保護政策》。\n\n客服請聯繫：\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nکپی‌رایت 2016-2017 Supercell Ltd.\nتمامی حقوق محفوظ است.\n\nهرگونه استفاده از این نرم‌افزار تحت\nشرایط و ضوابط خطمشی حریم خصوصی\nدر www.supercell.com قرار دارد.\n\nبرای پشتیبانی با\nclashroyale.feedback@supercell.com تماس بگیرید.","<names>\n\nClash Royale™ <version>\nHak cipta 2016-2017 Supercell Ltd.\nSemua Hak Dilindungi Undang-Undang.\n\nSemua penggunaan perangkat lunak ini tunduk pada\nSyarat dan Ketentuan serta Kebijakan Privasi\ndi www.supercell.com.\n\nUntuk dukungan hubungi\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nHak Cipta 2016-2017 Supercell Ltd.\nHak Cipta Terpelihara.\n\nSemua penggunaan perisian ini tertakluk kepada\nTerma dan Syarat serta Dasar Privasi\ndi www.supercell.com.\n\nHubungi\nclashroyale.feedback@supercell.com untuk mendapatkan sokongan"
"TID_ABOUT_ANDROID","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAll Rights Reserved.\n\nAll use of this software is subject to\nTerms and Conditions and Privacy Policy\nat www.supercell.com.\n\nFMOD Sound System,\ncopyright © Firelight Technologies Pty, Ltd., 1994-2017.\n\nFor support contact\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nTous droits réservés.\n\nToute utilisation de ce logiciel est régie par les\nConditions d'utilisation et la Politique de confidentialité\ndisponibles sur www.supercell.com.\n\nFMOD Sound System,\ncopyright © Firelight Technologies Pty, Ltd., 1994-2016.\n\nPour obtenir de l'aide, contactez\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAlle Rechte vorbehalten.\n\nJegliche Nutzung der Software unterliegt\nden Geschäftsbedingungen und Datenschutzrichtlinien\nauf www.supercell.com.\n\nFMOD Sound System,\nCopyright © Firelight Technologies Pty, Ltd., 1994-2017.\n\nDer Kundendienst ist erreichbar unter\nclashroyale.feedback@supercell.com.","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nTodos los derechos reservados.\n\nEl uso de este software está sujeto\na las Condiciones del servicio y a la Política de privacidad\nque encontrarás en www.supercell.com.\n\nSistema de sonido FMOD,\ncopyright © Firelight Technologies Pty, Ltd., 1994-2017.\n\nPara recibir asistencia, escribe a\nclashroyale.feedback@supercell.com.","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nTutti i diritti riservati.\n\nL'uso di questo software è soggetto ai\nTermini di utilizzo e all'Informativa sulla privacy\ndisponibili su www.supercell.com.\n\nFMOD Sound System,\ncopyright © Firelight Technologies Pty, Ltd., 1994-2017.\n\nPer assistenza, contattare\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAlle rechten voorbehouden.\n\nAlle gebruik van deze software is onderhevig aan de\nAlgemene voorwaarden en het Privacybeleid\nop www.supercell.com.\n\nFMOD-geluidssysteem,\ncopyright © Firelight Technologies Pty, Ltd., 1994-2017.\n\nNeem voor ondersteuning contact op met\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nMed enerett.\n\nAll bruk av denne programvaren er underlagt\nVilkår og betingelser og Retningslinjer for personvern\npå www.supercell.com.\n\nFMOD Sound System,\ncopyright © Firelight Technologies Pty, Ltd., 1994-2017.\n\nHvis du trenger brukerstøtte, kan du ta kontakt på:\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nTelif Hakkı 2016-2017 Supercell Ltd.\nTüm Hakları Saklıdır.\n\nBu yazılımın kullanımı\nwww.supercell.com adresindeki\nŞartlar ve Koşullar ile Gizlilik Politikası'na tabidir.\n\nFMOD Ses Sistemi,\nTelif Hakkı © Firelight Technologies Pty, Ltd., 1994-2017.\n\nDestek için clashroyale.feedback@supercell.net\nadresiyle iletişime geçin.","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAll Rights Reserved.\n\nAll use of this software is subject to\nTerms and Conditions and Privacy Policy\nat www.supercell.com.\n\nFMOD Sound System,\ncopyright © Firelight Technologie","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nAll Rights Reserved.\n\nAll use of this software is subject to\nTerms and Conditions and Privacy Policy\nat www.supercell.com.\n\nFMOD Sound System,\ncopyright © Firelight Technologies Pty, Ltd., 1994-2017.\n\nFor support contact\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nАвторские права принадлежат Supercell Ltd., 2016-2017 гг.\nВсе права защищены.\n\nНа любое использование данного программного обеспечения распространяются положения\nУсловий пользования и Политики конфиденциальности,\nрасположенных по адресу: www.supercell.com.\n\nЗвуковая система FMOD,\n© Firelight Technologies Pty, Ltd., 1994-2017.\n\nСвязаться со службой поддержки можно по адресу:\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nحقوق النشر لعامي 2016-2017 محفوظة لشركة Supercell Ltd.\nجميع الحقوق محفوظة\n\nجميع استخدامات هذا البرنامج خاضعة\nللبنود والشروط وسياسة الخصوصية\nعلى www.supercell.com.\n\nFMOD Sound System،\nحقوق النشر © محفوظة لشركة Firelight Technologies Pty, Ltd.، لأعوام 1994-2017.\n\nللحصول على الدعم، يمكنك الاتصال بـ\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nCopyright 2016-2017 Supercell Ltd.\nTodos os direitos reservados.\n\nO uso deste software está sujeito aos\nTermos de Uso e à Política de Privacidade\ndisponíveis no site www.supercell.com.\n\nFMOD Sound System,\ncopyright © Firelight Technologies Pty, Ltd., 1994-2017.\n\nPara suporte, contate\nclashroyale.feedback@supercell.com.","<names>\n\n《部落冲突:皇室战争》(Clash Royale)™ <version>\n版权所有2016-2017 Supercell Ltd.\n保留所有权利。\n\n对本软件的所有使用均需\n遵守我们在www.supercell.com列明的\n《条款和条件》和《隐私保护政策》。\n\nFMOD Sound System,\n版权所有 © Firelight Technologies Pty, Ltd., 1994-2017。\n\n客服请联系：\nclashroyale.feedback@supercell.com","<names>\n\n《部落衝突:皇室戰爭》(Clash Royale)™ <version>\n版權所有2016-2017 Supercell Ltd.\n保留所有權利。\n\n對本軟體的所有使用均需\n遵守我們在www.supercell.com列明的\n《條款和條件》和《隱私保護政策》。\n\nFMOD Sound System,\n版權所有 © Firelight Technologies Pty, Ltd., 1994-2017。\n\n客服請聯繫：\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nکپی‌رایت 2016-2017 Supercell Ltd.\nتمامی حقوق محفوظ است.\n\nهرگونه استفاده از این نرم‌افزار تحت\nشرایط و ضوابط خطمشی حریم خصوصی\nدر www.supercell.com قرار دارد.\n\nسیستم صدای FMOD،\nکپی‌رایت© Firelight Technologies Pty, Ltd., 1994-2017.\n\nبرای پشتیبانی با\nclashroyale.feedback@supercell.com تماس بگیرید.","<names>\n\nClash Royale™ <version>\nHak cipta 2016-2017 Supercell Ltd.\nSemua Hak Dilindungi Undang-Undang.\n\nSemua penggunaan perangkat lunak ini tunduk pada\nSyarat dan Ketentuan serta Kebijakan Privasi\ndi www.supercell.com.\n\nFMOD Sound System,\nhak cipta © Firelight Technologies Pty, Ltd., 1994-2017.\n\nUntuk dukungan hubungi\nclashroyale.feedback@supercell.com","<names>\n\nClash Royale™ <version>\nHak Cipta 2016-2017 Supercell Ltd.\nHak Cipta Terpelihara.\n\nSemua penggunaan perisian ini tertakluk kepada\nTerma dan Syarat serta Dasar Privasi\ndi www.supercell.com.\n\nFMOD Sound System,\nhak cipta © Firelight Technologies Pty, Ltd., 1994-2017.\n\nHubungi\nclashroyale.feedback@supercell.com untuk mendapatkan sokongan"
"TID_PURCHASE_LIMIT_TITLE","Confirm Purchase","Confirmer l'achat","Kauf bestätigen","Confirmación de compra","Conferma acquisto","Aankoop bevestigen","Bekreft kjøp","Satın Alımı Onayla","購入の確認","구매 확인","Подтвердить покупку","تأكيد الشراء","Confirmar compra","确认购买","確認購買","تأیید خرید","Konfirmasi Pembelian","Sahkan Pembelian"
