"Name","FileName","ExportName","Layer","LowendLayer","ShadowScale","ShadowX","ShadowY","ShadowSkew","CollisionRadius","Effect","AssetMinTrophy","AssetMinTrophyScore","AssetMinTrophyFileName","SortValue"
"jungle_leaves_04_shadow","sc/level_jungle_arena.sc","jungle_leaves_04_shadow","Ground","Ground",,,,,,,,,,
"jungle_leaves_05_shadow","sc/level_jungle_arena.sc","jungle_leaves_05_shadow","Ground","Ground",,,,,,,,,,
"jungle_vfx_water_01","sc/level_jungle_arena.sc","jungle_vfx_water_01","Ground","Ground",,,,,,,,,,
"jungle_2v2_base_01","sc/level_jungle_arena.sc","jungle_2v2_base_01","Base","Ground",,,,,,,,,,-20000
"champion_drawbridge_01","sc/level_champion_arena.sc","champion_drawbridge_01","Object","Ground",,,,,,,,,,
"champion_floating_rock_01","sc/level_champion_arena.sc","champion_floating_rock_01","Object","Ground",,,,,,,,,,
"champion_floating_rock_02","sc/level_champion_arena.sc","champion_floating_rock_02","Object","Ground",,,,,,,,,,
"champion_floating_rock_03","sc/level_champion_arena.sc","champion_floating_rock_03","Object","Ground",,,,,,,,,,
"champion_floating_rock_04","sc/level_champion_arena.sc","champion_floating_rock_04","Object","Ground",,,,,,,,,,
"champion_floating_rock_05","sc/level_champion_arena.sc","champion_floating_rock_05","Object","Ground",,,,,,,,,,
"champion_floating_rock_06","sc/level_champion_arena.sc","champion_floating_rock_06","Object","Ground",,,,,,,,,,
"champion_floating_rock_07","sc/level_champion_arena.sc","champion_floating_rock_07","Object","Ground",,,,,,,,,,
"champion_king_01","sc/level_champion_arena.sc","champion_king_01","Object","Ground",,,,,,,,,,
"champion_king_02","sc/level_champion_arena.sc","champion_king_02","Object","Ground",,,,,,,,,,
"champion_stands_blue_01","sc/level_champion_arena.sc","champion_stands_blue_01","Object","Ground",,,,,,,,,,
"champion_stands_blue_02","sc/level_champion_arena.sc","champion_stands_blue_02","Object","Ground",,,,,,,,,,
"champion_stands_blue_03","sc/level_champion_arena.sc","champion_stands_blue_03","Object","Ground",,,,,,,,,,
"champion_stands_red_01_stage_01","sc/level_champion_arena.sc","champion_stands_red_01_stage_01","Object","Ground",,,,,,,"champion_stands_red_01_stage_02",4300,"sc/level_champion_arena.sc",
,,,,,,,,,,,"champion_stands_red_01_stage_03",4600,"sc/level_champion_arena.sc",
"champion_stands_red_01_stage_02","sc/level_champion_arena.sc","champion_stands_red_01_stage_02","Object","Ground",,,,,,,,,,
"champion_stands_red_01_stage_03","sc/level_champion_arena.sc","champion_stands_red_01_stage_03","Object","Ground",,,,,,,,,,
"champion_stands_red_02","sc/level_champion_arena.sc","champion_stands_red_02","Object","Ground",,,,,,,,,,
"champion_stands_red_03","sc/level_champion_arena.sc","champion_stands_red_03","Object","Ground",,,,,,,,,,
"champion_trophy_big_01","sc/level_champion_arena.sc","champion_trophy_big_01","Object","Ground",,,,,,,,,,
"champion_wall_01_stage_01","sc/level_champion_arena.sc","champion_wall_01_stage_01","Object","Ground",,,,,,,"champion_wall_01_stage_02",4300,"sc/level_champion_arena.sc",
,,,,,,,,,,,"champion_wall_01_stage_03",4600,"sc/level_champion_arena.sc",
"champion_wall_01_stage_02","sc/level_champion_arena.sc","champion_wall_01_stage_02","Object","Ground",,,,,,,,,,
"champion_wall_01_stage_03","sc/level_champion_arena.sc","champion_wall_01_stage_03","Object","Ground",,,,,,,,,,
"champion_wall_02","sc/level_champion_arena.sc","champion_wall_02","Object","Ground",,,,,,,,,,
"champion_waterfall_dummy","sc/level_champion_arena.sc","champion_waterfall_dummy","Object","Ground",,,,,,"waterfall_haze",,,,
"champion_2v2_wall_01","sc/level_champion_arena.sc","champion_2v2_wall_01","Object","Ground",,,,,,,,,,
"champion_2v2_wall_02","sc/level_champion_arena.sc","champion_2v2_wall_02","Object","Ground",,,,,,,,,,
"champion_2v2_base_01","sc/level_champion_arena.sc","champion_2v2_base_01","Base","Ground",,,,,,,,,,
"PvE_deco_wall1_2tiles_h","sc/level_decos.sc","wall1_2tiles_h","Object","Ground",,,,,,,,,,
"PvE_deco_wall1_2tiles_v","sc/level_decos.sc","wall1_2tiles_v","Object","Ground",,,,,,,,,,
"PvE_deco_wall1_corner1","sc/level_decos.sc","wall1_corner1","Object","Ground",,,,,,,,,,
"PvE_deco_wall1_corner2","sc/level_decos.sc","wall1_corner2","Object","Ground",,,,,,,,,,
"PvE_deco_wall1_corner3","sc/level_decos.sc","wall1_corner3","Object","Ground",,,,,,,,,,
"PvE_deco_wall1_corner4","sc/level_decos.sc","wall1_corner4","Object","Ground",,,,,,,,,,
